,Player,Min,Team,PTS,REB,AST
190,Ryan Kalkbrenner,28.8,CHA,9.0,6.8,0.4
191,Sion James,27.7,CHA,9.0,3.8,1.2
192,Jaylen Wells,24.6,MEM,8.8,4.8,1.4
193,Patrick Williams,22.3,CHI,8.8,2.2,2.0
194,Tre Johnson,24.5,WAS,8.8,2.6,1.2
195,Vince Williams Jr.,17.0,MEM,8.8,2.8,2.8
196,Luguentz Dort,25.2,OKC,8.7,4.7,0.7
197,Landry Shamet,19.8,NYK,8.6,2.2,0.4
198,Trendon Watford,19.4,PHI,8.4,4.0,3.8
199,Khris Middleton,23.5,WAS,8.3,4.7,2.3
200,Miles McBride,21.9,NYK,8.3,3.0,3.0
201,Jose Alvarado,20.3,NOP,8.2,3.4,2.4
202,Kentavious Caldwell-Pope,23.9,MEM,8.2,2.2,3.0
203,Noah Clowney,23.4,BKN,8.2,4.2,1.0
204,Sandro Mamukelashvili,17.2,TOR,8.2,3.4,1.8
205,Cameron Johnson,26.0,DEN,8.0,2.8,1.4
206,Darius Garland,26.1,CLE,8.0,2.0,4.0
207,Goga Bitadze,17.4,ORL,8.0,4.0,1.2
208,Jusuf Nurkić,23.9,UTA,8.0,9.4,3.2
209,Klay Thompson,20.7,DAL,8.0,3.0,2.0
210,Jordan Goodwin,20.4,PHX,7.7,3.3,2.0
211,Yves Missi,24.5,NOP,7.7,6.3,1.0
212,Jonas Valančiūnas,11.7,DEN,7.6,4.4,0.8
213,Keon Ellis,21.7,SAC,7.6,1.8,0.8
214,Andre Drummond,18.7,PHI,7.5,8.3,0.3
215,KJ Simpson,15.0,CHA,7.5,3.5,2.0
216,Malaki Branham,10.5,WAS,7.5,2.0,0.0
217,Derik Queen,15.6,NOP,7.4,6.0,1.8
218,Drew Eubanks,16.7,SAC,7.4,3.2,0.2
219,Sam Hauser,22.5,BOS,7.4,3.0,2.0
220,Kris Dunn,24.7,LAC,7.2,2.8,1.6
221,Donovan Clingan,24.2,POR,7.0,9.6,1.4
222,Jamal Shead,17.9,TOR,7.0,2.6,5.2
223,Naji Marshall,23.3,DAL,7.0,3.0,1.8
224,Quinten Post,18.0,GSW,7.0,5.0,0.8
225,Ben Sheppard,24.3,IND,6.8,4.6,2.0
226,Buddy Hield,15.3,GSW,6.8,1.6,1.6
227,Dalton Knecht,20.4,LAL,6.8,1.6,0.8
228,Nique Clifford,22.5,SAC,6.7,2.3,2.0
229,Ace Bailey,18.9,UTA,6.6,3.4,1.4
230,Kyle Anderson,18.4,UTA,6.5,1.5,2.5
231,Jaxson Hayes,19.3,LAL,6.4,4.2,2.0
232,Blake Wesley,15.3,POR,6.3,1.0,2.7
233,Mac McClung,11.3,IND,6.3,1.3,0.3
234,Kyle Filipowski,16.2,UTA,6.2,3.8,1.6
235,Nikola Jović,19.3,MIA,6.2,3.4,2.4
236,Alex Caruso,19.0,OKC,6.0,1.8,2.0
237,Bruce Brown,20.3,DEN,6.0,4.2,1.4
238,Draymond Green,31.5,GSW,6.0,6.5,4.8
239,Duop Reath,10.3,POR,6.0,0.3,1.0
240,Jalen Wilson,18.9,BKN,6.0,1.0,1.0
241,Lindy Waters III,13.5,SAS,6.0,1.0,0.0
242,RayJ Dennis,17.1,IND,6.0,2.2,2.4
243,Steven Adams,18.3,HOU,6.0,8.5,1.8
244,Jay Huff,15.5,IND,5.8,2.4,1.2
245,Peyton Watson,20.8,DEN,5.8,4.4,2.2
246,Rob Dillingham,15.1,MIN,5.8,0.8,3.2
247,Caris LeVert,18.4,DET,5.8,1.3,1.8
248,Dwight Powell,16.8,DAL,5.8,3.3,0.3
249,Jordan Walsh,14.7,BOS,5.7,3.7,0.7
250,Brook Lopez,15.3,LAC,5.6,2.2,0.2
251,Cam Whitmore,12.6,WAS,5.6,1.6,0.2
252,Day'Ron Sharpe,17.1,BKN,5.6,6.8,1.8
253,Gradey Dick,15.0,TOR,5.6,1.6,0.0
254,Jaylin Williams,19.3,OKC,5.6,6.2,3.2
255,Mouhamed Gueye,13.2,ATL,5.6,3.2,0.4
256,Dean Wade,18.7,CLE,5.4,3.8,2.0
257,Taurean Prince,18.9,MIL,5.4,1.2,0.4
258,Clint Capela,12.9,HOU,5.2,6.4,0.6
259,Dru Smith,16.6,MIA,5.0,1.2,3.8
260,Jakob Poeltl,22.0,TOR,5.0,5.5,0.5
261,Vít Krejčí,14.1,ATL,5.0,1.5,1.0
262,Javonte Green,18.5,DET,4.8,2.8,1.0
263,Walter Clayton Jr.,14.9,UTA,4.8,1.2,3.6
264,Lonzo Ball,24.9,CLE,4.8,3.8,5.3
265,Bub Carrington,27.4,WAS,4.6,4.4,4.8
266,Luka Garza,13.1,BOS,4.6,3.6,1.0
267,Chris Boucher,10.0,BOS,4.5,0.5,0.0
268,Daniss Jenkins,12.9,DET,4.5,0.0,2.5
269,Keaton Wallace,11.7,ATL,4.5,2.3,3.8
270,Kris Murray,23.4,POR,4.5,3.5,1.3
271,Bogdan Bogdanović,20.9,LAC,4.3,4.0,1.7
272,Pat Spencer,10.4,GSW,4.3,1.3,1.7
273,Taylor Hendricks,15.3,UTA,4.2,4.2,0.4
274,Tony Bradley,11.3,IND,4.2,4.4,0.4
275,Cody Williams,12.0,UTA,4.0,1.3,0.7
276,Craig Porter Jr.,21.2,CLE,4.0,4.4,3.0
277,Johnny Furphy,17.8,IND,4.0,3.0,0.0
278,Mitchell Robinson,16.4,NYK,4.0,8.7,1.3
279,Hugo González,12.0,BOS,3.8,1.8,0.8
280,Justin Edwards,13.3,PHI,3.8,1.8,0.8
281,Ben Saraf,13.8,BKN,3.7,1.3,2.0
282,Jaylen Clark,17.4,MIN,3.7,2.3,0.7
283,John Konchar,11.8,MEM,3.7,2.0,0.7
284,Kevin Love,15.0,UTA,3.7,5.0,3.7
285,Kevon Looney,15.5,NOP,3.7,4.3,2.0
286,Jarred Vanderbilt,17.6,LAL,3.6,4.8,1.8
287,Oso Ighodaro,15.8,PHX,3.6,3.2,1.4
288,Charles Bassey,15.3,MEM,3.5,7.5,1.0
289,Jaden Hardy,11.7,DAL,3.5,1.0,0.5
290,Terrence Shannon Jr.,16.6,MIN,3.5,1.5,0.8
291,Liam McNeeley,11.4,CHA,3.4,1.6,1.2
